hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
8.116948906738056,5.0,2.0,3.0,3.0,1.0,3.0,56.0,Travel_Rarely,Research & Development,4.0,3.0,Life Sciences,1.0,1388.0,Male,4.0,Manager,Divorced,25870.0,4.0,Y,12.0,8.0,0.0,19.0,2.0,2.0,2.0,2.0
5.508749442213055,21.0,3.0,3.0,3.0,3.0,3.0,38.0,Travel_Rarely,Research & Development,5.0,3.0,Life Sciences,1.0,1684.0,Female,1.0,Research Scientist,Married,154270.0,3.0,Y,16.0,8.0,1.0,18.0,2.0,1.0,0.0,0.0
6.009721106648611,10.0,3.0,3.0,3.0,1.0,3.0,41.0,Travel_Rarely,Research & Development,5.0,3.0,Medical,1.0,1009.0,Male,1.0,Sales Representative,Divorced,121690.0,1.0,Y,19.0,8.0,0.0,5.0,2.0,5.0,0.0,4.0
6.358370147255555,16.0,4.0,3.0,3.0,1.0,2.0,38.0,Travel_Rarely,Human Resources,2.0,4.0,Medical,1.0,1703.0,Male,1.0,Human Resources,Single,20140.0,3.0,Y,17.0,8.0,1.0,8.0,5.0,0.0,0.0,0.0
8.99700245426139,8.0,3.0,3.0,4.0,1.0,3.0,55.0,Travel_Rarely,Research & Development,14.0,4.0,Life Sciences,1.0,1483.0,Female,1.0,Sales Executive,Single,55380.0,0.0,Y,17.0,8.0,0.0,37.0,2.0,36.0,4.0,13.0
7.651898705934722,7.0,4.0,3.0,3.0,3.0,3.0,26.0,Travel_Rarely,Research & Development,17.0,4.0,Life Sciences,1.0,4287.0,Male,2.0,Sales Executive,Married,48770.0,1.0,Y,13.0,8.0,1.0,8.0,5.0,8.0,5.0,7.0
9.572527889335,17.0,3.0,3.0,3.0,4.0,2.0,36.0,Travel_Rarely,Research & Development,26.0,4.0,Medical,1.0,1877.0,Male,1.0,Laboratory Technician,Married,84740.0,0.0,Y,14.0,8.0,0.0,17.0,3.0,16.0,4.0,11.0
6.2370716198125,14.0,3.0,3.0,4.0,4.0,3.0,45.0,Non-Travel,Research & Development,2.0,3.0,Medical,1.0,4371.0,Female,2.0,Research Scientist,Single,103680.0,6.0,Y,12.0,8.0,2.0,23.0,2.0,19.0,12.0,8.0
9.777776662204166,17.0,3.0,3.0,2.0,3.0,3.0,34.0,Travel_Rarely,Sales,25.0,5.0,Marketing,1.0,830.0,Female,1.0,Research Scientist,Married,41940.0,0.0,Y,17.0,8.0,2.0,12.0,3.0,11.0,5.0,7.0
7.628406961177777,12.0,1.0,3.0,2.0,1.0,2.0,46.0,Travel_Rarely,Sales,2.0,3.0,Life Sciences,1.0,2712.0,Female,1.0,Research Scientist,Single,34200.0,3.0,Y,13.0,8.0,2.0,22.0,3.0,2.0,2.0,1.0
7.757917224453333,7.0,3.0,3.0,2.0,2.0,3.0,52.0,Travel_Rarely,Sales,1.0,3.0,Life Sciences,1.0,549.0,Male,1.0,Sales Executive,Single,59740.0,7.0,Y,18.0,8.0,1.0,18.0,6.0,8.0,4.0,0.0
6.970358099062778,8.0,3.0,3.0,1.0,3.0,3.0,31.0,Travel_Rarely,Research & Development,10.0,4.0,Medical,1.0,2630.0,Female,3.0,Sales Executive,Married,61250.0,0.0,Y,13.0,8.0,1.0,3.0,3.0,2.0,1.0,2.0
6.905394912985,19.0,1.0,3.0,4.0,3.0,3.0,58.0,Travel_Rarely,Sales,9.0,2.0,Medical,1.0,443.0,Female,4.0,Sales Executive,Single,59570.0,4.0,Y,14.0,8.0,1.0,7.0,2.0,1.0,0.0,0.0
9.31242748772861,12.0,3.0,3.0,2.0,1.0,3.0,40.0,Travel_Rarely,Research & Development,22.0,2.0,Technical Degree,1.0,972.0,Male,1.0,Healthcare Representative,Married,23230.0,2.0,Y,16.0,8.0,1.0,18.0,2.0,1.0,0.0,0.0
6.383496207050277,7.0,4.0,3.0,3.0,3.0,4.0,28.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,1.0,2001.0,Male,2.0,Healthcare Representative,Single,74570.0,3.0,Y,11.0,8.0,2.0,10.0,1.0,8.0,1.0,7.0
8.758000892458611,5.0,3.0,3.0,2.0,4.0,3.0,34.0,Travel_Rarely,Sales,6.0,2.0,Life Sciences,1.0,3164.0,Male,4.0,Research Director,Married,102480.0,1.0,Y,12.0,8.0,1.0,6.0,4.0,6.0,1.0,3.0
6.749175591253889,14.0,3.0,3.0,4.0,1.0,3.0,28.0,Travel_Rarely,Research & Development,6.0,3.0,Technical Degree,1.0,3551.0,Male,2.0,Research Scientist,Married,23510.0,1.0,Y,16.0,8.0,0.0,6.0,4.0,6.0,3.0,3.0
7.570522088353333,14.0,3.0,3.0,2.0,4.0,3.0,36.0,Travel_Frequently,Human Resources,7.0,3.0,Medical,1.0,4270.0,Male,1.0,Research Scientist,Married,26900.0,0.0,Y,11.0,8.0,0.0,10.0,1.0,9.0,2.0,8.0
5.7542179830430555,11.0,3.0,3.0,1.0,1.0,3.0,36.0,Non-Travel,Research & Development,10.0,4.0,Technical Degree,1.0,284.0,Female,2.0,Research Scientist,Married,41520.0,9.0,Y,19.0,8.0,1.0,10.0,3.0,8.0,0.0,5.0
6.937077197679445,13.0,3.0,3.0,3.0,2.0,1.0,36.0,Travel_Rarely,Research & Development,13.0,3.0,Technical Degree,1.0,2568.0,Female,3.0,Healthcare Representative,Married,25170.0,2.0,Y,14.0,8.0,0.0,12.0,3.0,4.0,1.0,3.0
